|Year | Sum | Alliance | Event | Match | Color|
|2002 | 2904 | [950, 997, 957] | 2002wa | sf1 | blue|
|2002 | 2904 | [950, 997, 957] | 2002wa | sf2 | blue|
|2002 | 2743 | [877, 935, 931] | 2002mo | qf1 | red|
|2002 | 2743 | [877, 935, 931] | 2002mo | qf2 | red|
|2002 | 2743 | [877, 935, 931] | 2002mo | sf1 | blue|
|2002 | 2743 | [877, 935, 931] | 2002mo | sf2 | blue|
|2002 | 2551 | [597, 980, 974] | 2002ca | qf1 | blue|
|2002 | 2551 | [597, 980, 974] | 2002ca | qf2 | blue|
|2002 | 2543 | [954, 628, 961] | 2002wa | qf1 | blue|
|2002 | 2543 | [954, 628, 961] | 2002wa | qf2 | blue|
|2002 | 2412 | [969, 476, 967] | 2002mo | qf1 | blue|
|2002 | 2412 | [969, 476, 967] | 2002mo | qf2 | blue|
|2002 | 2383 | [943, 507, 933] | 2002mo | qf1 | red|
|2002 | 2383 | [943, 507, 933] | 2002mo | qf2 | red|
|2002 | 2256 | [610, 781, 865] | 2002on | f1 | red|
|2002 | 2256 | [610, 781, 865] | 2002on | f2 | red|
|2002 | 2256 | [610, 781, 865] | 2002on | f3 | red|
|2002 | 2256 | [610, 781, 865] | 2002on | qf1 | blue|
|2002 | 2256 | [610, 781, 865] | 2002on | qf2 | blue|
|2002 | 2256 | [610, 781, 865] | 2002on | qf3 | blue|
|2002 | 2256 | [610, 781, 865] | 2002on | sf1 | red|
|2002 | 2256 | [610, 781, 865] | 2002on | sf2 | red|
|2002 | 2256 | [610, 781, 865] | 2002on |  | Winner|
|2002 | 2200 | [773, 578, 849] | 2002on | qf1 | blue|
|2002 | 2200 | [773, 578, 849] | 2002on | qf2 | blue|
|2002 | 2159 | [962, 599, 598] | 2002ca | qf1 | red|
|2002 | 2159 | [962, 599, 598] | 2002ca | qf2 | red|
|2002 | 2145 | [752, 714, 679] | 2002ny | qf1 | blue|
|2002 | 2145 | [752, 714, 679] | 2002ny | qf2 | blue|
|2002 | 2100 | [810, 694, 596] | 2002ny | qf1 | blue|
|2002 | 2100 | [810, 694, 596] | 2002ny | qf2 | blue|
|2002 | 2100 | [810, 694, 596] | 2002ny | qf3 | blue|
|2002 | 2100 | [810, 694, 596] | 2002ny | sf1 | red|
|2002 | 2100 | [810, 694, 596] | 2002ny | sf2 | red|
|2002 | 2095 | [524, 599, 972] | 2002sj | qf1 | red|
|2002 | 2095 | [524, 599, 972] | 2002sj | qf2 | red|
|2002 | 2095 | [524, 599, 972] | 2002sj | qf3 | red|
|2002 | 2077 | [114, 968, 995] | 2002ca | qf1 | blue|
|2002 | 2077 | [114, 968, 995] | 2002ca | qf2 | blue|
|2002 | 2077 | [114, 968, 995] | 2002ca | sf1 | blue|
|2002 | 2077 | [114, 968, 995] | 2002ca | sf2 | blue|
|2002 | 2061 | [702, 498, 861] | 2002ca | qf1 | blue|
|2002 | 2061 | [702, 498, 861] | 2002ca | qf2 | blue|
|2002 | 2053 | [461, 650, 942] | 2002mo | qf1 | blue|
|2002 | 2053 | [461, 650, 942] | 2002mo | qf2 | blue|
|2002 | 2039 | [907, 247, 885] | 2002on | qf1 | red|
|2002 | 2039 | [907, 247, 885] | 2002on | qf2 | red|
|2002 | 1987 | [648, 892, 447] | 2002mo | qf1 | blue|
|2002 | 1987 | [648, 892, 447] | 2002mo | qf2 | blue|
|2002 | 1987 | [648, 892, 447] | 2002mo | sf1 | blue|
|2002 | 1987 | [648, 892, 447] | 2002mo | sf2 | blue|
|2002 | 1985 | [456, 607, 922] | 2002tx | qf1 | blue|
|2002 | 1985 | [456, 607, 922] | 2002tx | qf2 | blue|
|2002 | 1969 | [753, 383, 833] | 2002wa | f1 | blue|
|2002 | 1969 | [753, 383, 833] | 2002wa | f2 | blue|
|2002 | 1969 | [753, 383, 833] | 2002wa | f3 | blue|
|2002 | 1969 | [753, 383, 833] | 2002wa | qf1 | blue|
|2002 | 1969 | [753, 383, 833] | 2002wa | qf2 | blue|
|2002 | 1969 | [753, 383, 833] | 2002wa | sf1 | red|
|2002 | 1969 | [753, 383, 833] | 2002wa | sf2 | red|
|2002 | 1969 | [753, 383, 833] | 2002wa |  | Winner|
|2002 | 1955 | [948, 374, 633] | 2002wa | qf1 | blue|
|2002 | 1955 | [948, 374, 633] | 2002wa | qf2 | blue|
|2002 | 1955 | [948, 374, 633] | 2002wa | qf3 | blue|
|2002 | 1939 | [956, 824, 159] | 2002wa | qf1 | red|
|2002 | 1939 | [956, 824, 159] | 2002wa | qf2 | red|
|2002 | 1933 | [953, 492, 488] | 2002wa | f1 | red|
|2002 | 1933 | [953, 492, 488] | 2002wa | f2 | red|
|2002 | 1933 | [953, 492, 488] | 2002wa | f3 | red|
|2002 | 1933 | [953, 492, 488] | 2002wa | qf1 | red|
|2002 | 1933 | [953, 492, 488] | 2002wa | qf2 | red|
|2002 | 1933 | [953, 492, 488] | 2002wa | qf3 | red|
|2002 | 1933 | [953, 492, 488] | 2002wa | sf1 | blue|
|2002 | 1933 | [953, 492, 488] | 2002wa | sf2 | blue|
|2002 | 1933 | [953, 492, 488] | 2002wa | sf3 | blue|
|2002 | 1933 | [953, 492, 488] | 2002wa |  | Finalist|
|2002 | 1929 | [872, 963, 94] | 2002oh | qf1 | blue|
|2002 | 1929 | [872, 963, 94] | 2002oh | qf2 | blue|
|2002 | 1922 | [945, 312, 665] | 2002fl | f1 | red|
|2002 | 1922 | [945, 312, 665] | 2002fl | f2 | red|
|2002 | 1922 | [945, 312, 665] | 2002fl | f3 | red|
|2002 | 1922 | [945, 312, 665] | 2002fl | qf1 | red|
|2002 | 1922 | [945, 312, 665] | 2002fl | qf2 | red|
|2002 | 1922 | [945, 312, 665] | 2002fl | sf1 | red|
|2002 | 1922 | [945, 312, 665] | 2002fl | sf2 | red|
|2002 | 1922 | [945, 312, 665] | 2002fl |  | Finalist|
|2002 | 1846 | [840, 192, 814] | 2002sj | qf1 | red|
|2002 | 1846 | [840, 192, 814] | 2002sj | qf2 | red|
|2002 | 1846 | [840, 192, 814] | 2002sj | sf1 | blue|
|2002 | 1846 | [840, 192, 814] | 2002sj | sf2 | blue|
|2002 | 1846 | [840, 192, 814] | 2002sj | sf3 | blue|
|2002 | 1843 | [936, 31, 876] | 2002mo | qf1 | blue|
|2002 | 1843 | [936, 31, 876] | 2002mo | qf2 | blue|
|2002 | 1777 | [22, 800, 955] | 2002wa | qf1 | red|
|2002 | 1777 | [22, 800, 955] | 2002wa | qf2 | red|
|2002 | 1777 | [22, 800, 955] | 2002wa | sf1 | red|
|2002 | 1777 | [22, 800, 955] | 2002wa | sf2 | red|
|2002 | 1777 | [22, 800, 955] | 2002wa | sf3 | red|
|2002 | 1776 | [639, 379, 758] | 2002on | f1 | blue|
|2002 | 1776 | [639, 379, 758] | 2002on | f2 | blue|
|2002 | 1776 | [639, 379, 758] | 2002on | f3 | blue|
|2002 | 1776 | [639, 379, 758] | 2002on | qf1 | blue|
|2002 | 1776 | [639, 379, 758] | 2002on | qf2 | blue|
|2002 | 1776 | [639, 379, 758] | 2002on | sf1 | blue|
|2002 | 1776 | [639, 379, 758] | 2002on | sf2 | blue|
|2002 | 1776 | [639, 379, 758] | 2002on | sf3 | blue|
|2002 | 1776 | [639, 379, 758] | 2002on |  | Finalist|
|2002 | 1742 | [397, 446, 899] | 2002tx | qf1 | blue|
|2002 | 1742 | [397, 446, 899] | 2002tx | qf2 | blue|
|2002 | 1738 | [573, 235, 930] | 2002il | qf1 | blue|
|2002 | 1738 | [573, 235, 930] | 2002il | qf2 | blue|
|2002 | 1718 | [903, 648, 167] | 2002il | qf1 | blue|
|2002 | 1718 | [903, 648, 167] | 2002il | qf2 | blue|
|2002 | 1665 | [973, 330, 362] | 2002sj | qf1 | blue|
|2002 | 1665 | [973, 330, 362] | 2002sj | qf2 | blue|
|2002 | 1645 | [317, 624, 704] | 2002tx | qf1 | blue|
|2002 | 1645 | [317, 624, 704] | 2002tx | qf2 | blue|
|2002 | 1644 | [750, 235, 659] | 2002tx | qf1 | red|
|2002 | 1644 | [750, 235, 659] | 2002tx | qf2 | red|
|2002 | 1634 | [340, 639, 655] | 2002ny | qf1 | red|
|2002 | 1634 | [340, 639, 655] | 2002ny | qf2 | red|
|2002 | 1634 | [340, 639, 655] | 2002ny | qf3 | red|
|2002 | 1632 | [433, 365, 834] | 2002pa | qf1 | blue|
|2002 | 1632 | [433, 365, 834] | 2002pa | qf2 | blue|
|2002 | 1629 | [440, 279, 910] | 2002gl | qf1 | blue|
|2002 | 1629 | [440, 279, 910] | 2002gl | qf2 | blue|
|2002 | 1623 | [190, 852, 581] | 2002sj | qf1 | blue|
|2002 | 1623 | [190, 852, 581] | 2002sj | qf2 | blue|
|2002 | 1548 | [571, 839, 138] | 2002ct | qf1 | blue|
|2002 | 1548 | [571, 839, 138] | 2002ct | qf2 | blue|
|2002 | 1548 | [571, 839, 138] | 2002ct | qf3 | blue|
|2002 | 1548 | [635, 476, 437] | 2002tx | qf1 | blue|
|2002 | 1548 | [635, 476, 437] | 2002tx | qf2 | blue|
|2002 | 1548 | [635, 476, 437] | 2002tx | sf1 | red|
|2002 | 1548 | [635, 476, 437] | 2002tx | sf2 | red|
|2002 | 1529 | [859, 469, 201] | 2002oh | f1 | blue|
|2002 | 1529 | [859, 469, 201] | 2002oh | f2 | blue|
|2002 | 1529 | [859, 469, 201] | 2002oh | f3 | blue|
|2002 | 1529 | [859, 469, 201] | 2002oh | qf1 | red|
|2002 | 1529 | [859, 469, 201] | 2002oh | qf2 | red|
|2002 | 1529 | [859, 469, 201] | 2002oh | sf1 | blue|
|2002 | 1529 | [859, 469, 201] | 2002oh | sf2 | blue|
|2002 | 1529 | [859, 469, 201] | 2002oh |  | Winner|
|2002 | 1500 | [869, 102, 529] | 2002nj | qf1 | blue|
|2002 | 1500 | [869, 102, 529] | 2002nj | qf2 | blue|
|2002 | 1497 | [554, 85, 858] | 2002il | qf1 | blue|
|2002 | 1497 | [554, 85, 858] | 2002il | qf2 | blue|
|2002 | 1483 | [492, 295, 696] | 2002ca | qf1 | red|
|2002 | 1483 | [492, 295, 696] | 2002ca | qf2 | red|
|2002 | 1448 | [808, 314, 326] | 2002mi | qf1 | blue|
|2002 | 1448 | [808, 314, 326] | 2002mi | qf2 | blue|
|2002 | 1425 | [857, 65, 503] | 2002mi | qf1 | blue|
|2002 | 1425 | [857, 65, 503] | 2002mi | qf2 | blue|
|2002 | 1425 | [857, 65, 503] | 2002mi | qf3 | blue|
|2002 | 1403 | [486, 695, 222] | 2002pa | qf1 | red|
|2002 | 1403 | [486, 695, 222] | 2002pa | qf2 | red|
|2002 | 1403 | [486, 695, 222] | 2002pa | qf3 | red|
|2002 | 1399 | [868, 70, 461] | 2002il | qf1 | blue|
|2002 | 1399 | [868, 70, 461] | 2002il | qf2 | blue|
|2002 | 1381 | [422, 643, 316] | 2002va |  | Winner|
|2002 | 1365 | [569, 263, 533] | 2002li | qf1 | blue|
|2002 | 1365 | [569, 263, 533] | 2002li | qf2 | blue|
|2002 | 1346 | [354, 571, 421] | 2002ny | qf1 | blue|
|2002 | 1346 | [354, 571, 421] | 2002ny | qf2 | blue|
|2002 | 1346 | [354, 571, 421] | 2002ny | qf3 | blue|
|2002 | 1332 | [563, 665, 104] | 2002pa | qf1 | red|
|2002 | 1332 | [563, 665, 104] | 2002pa | qf2 | red|
|2002 | 1332 | [563, 665, 104] | 2002pa | qf3 | red|
|2002 | 1332 | [563, 665, 104] | 2002pa | sf1 | blue|
|2002 | 1332 | [563, 665, 104] | 2002pa | sf2 | blue|
|2002 | 1284 | [358, 56, 870] | 2002li | qf1 | blue|
|2002 | 1284 | [358, 56, 870] | 2002li | qf2 | blue|
|2002 | 1284 | [358, 56, 870] | 2002li | qf3 | blue|
|2002 | 1284 | [358, 56, 870] | 2002li | sf1 | red|
|2002 | 1284 | [358, 56, 870] | 2002li | sf2 | red|
|2002 | 1249 | [643, 122, 484] | 2002pa | f1 | blue|
|2002 | 1249 | [643, 122, 484] | 2002pa | f2 | blue|
|2002 | 1249 | [643, 122, 484] | 2002pa | qf1 | blue|
|2002 | 1249 | [643, 122, 484] | 2002pa | qf2 | blue|
|2002 | 1249 | [643, 122, 484] | 2002pa | sf1 | red|
|2002 | 1249 | [643, 122, 484] | 2002pa | sf2 | red|
|2002 | 1249 | [122, 484, 643] | 2002pa |  | Finalist|
|2002 | 1237 | [691, 524, 22] | 2002ca | qf1 | blue|
|2002 | 1237 | [691, 524, 22] | 2002ca | qf2 | blue|
|2002 | 1237 | [691, 524, 22] | 2002ca | sf1 | blue|
|2002 | 1237 | [691, 524, 22] | 2002ca | sf2 | blue|
|2002 | 1228 | [16, 343, 869] | 2002mo | f1 | red|
|2002 | 1228 | [16, 343, 869] | 2002mo | f2 | red|
|2002 | 1228 | [16, 343, 869] | 2002mo | qf1 | red|
|2002 | 1228 | [16, 343, 869] | 2002mo | qf2 | red|
|2002 | 1228 | [16, 343, 869] | 2002mo | sf1 | red|
|2002 | 1228 | [16, 343, 869] | 2002mo | sf2 | red|
|2002 | 1228 | [16, 343, 869] | 2002mo |  | Winner|
|2002 | 1228 | [473, 64, 691] | 2002wa | qf1 | red|
|2002 | 1228 | [473, 64, 691] | 2002wa | qf2 | red|
|2002 | 1227 | [818, 308, 101] | 2002mi | qf1 | blue|
|2002 | 1227 | [818, 308, 101] | 2002mi | qf2 | blue|
|2002 | 1192 | [701, 376, 115] | 2002sj | f1 | blue|
|2002 | 1192 | [701, 376, 115] | 2002sj | f2 | blue|
|2002 | 1192 | [701, 376, 115] | 2002sj | qf1 | red|
|2002 | 1192 | [701, 376, 115] | 2002sj | qf2 | red|
|2002 | 1192 | [701, 376, 115] | 2002sj | sf1 | blue|
|2002 | 1192 | [701, 376, 115] | 2002sj | sf2 | blue|
|2002 | 1192 | [701, 376, 115] | 2002sj |  | Finalist|
|2002 | 1174 | [234, 892, 48] | 2002oh | qf1 | blue|
|2002 | 1174 | [234, 892, 48] | 2002oh | qf2 | blue|
|2002 | 1173 | [395, 759, 19] | 2002ny | qf1 | red|
|2002 | 1173 | [395, 759, 19] | 2002ny | qf2 | red|
|2002 | 1173 | [395, 759, 19] | 2002ny | qf3 | red|
|2002 | 1173 | [395, 759, 19] | 2002ny | sf1 | blue|
|2002 | 1173 | [395, 759, 19] | 2002ny | sf2 | blue|
|2002 | 1173 | [395, 759, 19] | 2002ny | sf3 | blue|
|2002 | 1169 | [30, 329, 810] | 2002li | qf1 | red|
|2002 | 1169 | [30, 329, 810] | 2002li | qf2 | red|
|2002 | 1162 | [271, 175, 716] | 2002ct | qf1 | blue|
|2002 | 1162 | [271, 175, 716] | 2002ct | qf2 | blue|
|2002 | 1162 | [271, 175, 716] | 2002ct | sf1 | blue|
|2002 | 1162 | [271, 175, 716] | 2002ct | sf2 | blue|
|2002 | 1162 | [271, 175, 716] | 2002ct | sf3 | blue|
|2002 | 1155 | [271, 168, 716] | 2002new | f1 | blue|
|2002 | 1155 | [271, 168, 716] | 2002new | f2 | blue|
|2002 | 1155 | [271, 168, 716] | 2002new | qf1 | red|
|2002 | 1155 | [271, 168, 716] | 2002new | qf2 | red|
|2002 | 1155 | [271, 168, 716] | 2002new | sf1 | blue|
|2002 | 1155 | [271, 168, 716] | 2002new | sf2 | blue|
|2002 | 1155 | [168, 271, 716] | 2002new |  | Finalist|
|2002 | 1148 | [496, 311, 341] | 2002li | qf1 | red|
|2002 | 1148 | [496, 311, 341] | 2002li | qf2 | red|
|2002 | 1148 | [496, 311, 341] | 2002li | qf3 | red|
|2002 | 1144 | [237, 358, 549] | 2002ny | f1 | blue|
|2002 | 1144 | [237, 358, 549] | 2002ny | f2 | blue|
|2002 | 1144 | [237, 358, 549] | 2002ny | qf1 | red|
|2002 | 1144 | [237, 358, 549] | 2002ny | qf2 | red|
|2002 | 1144 | [237, 358, 549] | 2002ny | qf3 | red|
|2002 | 1144 | [237, 358, 549] | 2002ny | sf1 | blue|
|2002 | 1144 | [237, 358, 549] | 2002ny | sf2 | blue|
|2002 | 1144 | [237, 358, 549] | 2002ny |  | Winner|
|2002 | 1124 | [11, 891, 222] | 2002on | qf1 | blue|
|2002 | 1124 | [11, 891, 222] | 2002on | qf2 | blue|
|2002 | 1124 | [11, 891, 222] | 2002on | qf3 | blue|
|2002 | 1124 | [11, 891, 222] | 2002on | sf1 | blue|
|2002 | 1124 | [11, 891, 222] | 2002on | sf2 | blue|
|2002 | 1102 | [135, 448, 519] | 2002oh | qf1 | blue|
|2002 | 1102 | [135, 448, 519] | 2002oh | qf2 | blue|
|2002 | 1101 | [95, 505, 501] | 2002ct | qf1 | blue|
|2002 | 1101 | [95, 505, 501] | 2002ct | qf2 | blue|
|2002 | 1097 | [353, 230, 514] | 2002li | qf1 | red|
|2002 | 1097 | [353, 230, 514] | 2002li | qf2 | red|
|2002 | 1097 | [353, 230, 514] | 2002li | qf3 | red|
|2002 | 1079 | [783, 291, 5] | 2002on | qf1 | red|
|2002 | 1079 | [783, 291, 5] | 2002on | qf2 | red|
|2002 | 1079 | [783, 291, 5] | 2002on | qf3 | red|
|2002 | 1075 | [298, 368, 409] | 2002sj | qf1 | blue|
|2002 | 1075 | [298, 368, 409] | 2002sj | qf2 | blue|
|2002 | 1075 | [298, 368, 409] | 2002sj | qf3 | blue|
|2002 | 1071 | [159, 365, 547] | 2002new | qf1 | red|
|2002 | 1071 | [159, 365, 547] | 2002new | qf2 | red|
|2002 | 1071 | [159, 365, 547] | 2002new | qf3 | red|
|2002 | 1065 | [406, 111, 548] | 2002gl | qf1 | red|
|2002 | 1065 | [406, 111, 548] | 2002gl | qf2 | red|
|2002 | 1065 | [406, 111, 548] | 2002gl | qf3 | red|
|2002 | 1065 | [406, 111, 548] | 2002gl | sf1 | blue|
|2002 | 1065 | [406, 111, 548] | 2002gl | sf2 | blue|
|2002 | 1065 | [406, 111, 548] | 2002gl | sf3 | blue|
|2002 | 1056 | [382, 383, 291] | 2002new | qf1 | blue|
|2002 | 1056 | [382, 383, 291] | 2002new | qf2 | blue|
|2002 | 1056 | [382, 383, 291] | 2002new | qf3 | blue|
|2002 | 1054 | [560, 249, 245] | 2002gl | qf1 | blue|
|2002 | 1054 | [560, 249, 245] | 2002gl | qf2 | blue|
|2002 | 1054 | [560, 249, 245] | 2002gl | qf3 | blue|
|2002 | 1046 | [368, 399, 279] | 2002new | qf1 | blue|
|2002 | 1046 | [368, 399, 279] | 2002new | qf2 | blue|
|2002 | 1045 | [448, 87, 510] | 2002va |  | Finalist|
|2002 | 1040 | [804, 179, 57] | 2002fl | qf1 | blue|
|2002 | 1040 | [804, 179, 57] | 2002fl | qf2 | blue|
|2002 | 1030 | [121, 335, 574] | 2002ny | qf1 | blue|
|2002 | 1030 | [121, 335, 574] | 2002ny | qf2 | blue|
|2002 | 1030 | [121, 335, 574] | 2002ny | qf3 | blue|
|2002 | 1021 | [145, 225, 651] | 2002pa | qf1 | blue|
|2002 | 1021 | [145, 225, 651] | 2002pa | qf2 | blue|
|2002 | 1021 | [145, 225, 651] | 2002pa | qf3 | blue|
|2002 | 1021 | [145, 225, 651] | 2002pa | sf1 | blue|
|2002 | 1021 | [145, 225, 651] | 2002pa | sf2 | blue|
|2002 | 1021 | [145, 225, 651] | 2002pa | sf3 | blue|
|2002 | 1001 | [386, 507, 108] | 2002fl | qf1 | red|
|2002 | 1001 | [386, 507, 108] | 2002fl | qf2 | red|
|2002 | 1001 | [386, 507, 108] | 2002fl | sf1 | blue|
|2002 | 1001 | [386, 507, 108] | 2002fl | sf2 | blue|
|2002 | 993 | [67, 68, 858] | 2002mi | qf1 | red|
|2002 | 993 | [67, 68, 858] | 2002mi | qf2 | red|
|2002 | 993 | [67, 68, 858] | 2002mi | sf1 | red|
|2002 | 993 | [67, 68, 858] | 2002mi | sf2 | red|
|2002 | 971 | [885, 56, 30] | 2002nj | qf1 | blue|
|2002 | 971 | [885, 56, 30] | 2002nj | qf2 | blue|
|2002 | 968 | [47, 33, 888] | 2002mi | f1 | red|
|2002 | 968 | [47, 33, 888] | 2002mi | f2 | red|
|2002 | 968 | [47, 33, 888] | 2002mi | f3 | red|
|2002 | 968 | [47, 33, 888] | 2002mi | qf1 | red|
|2002 | 968 | [47, 33, 888] | 2002mi | qf2 | red|
|2002 | 968 | [47, 33, 888] | 2002mi | qf3 | red|
|2002 | 968 | [47, 33, 888] | 2002mi | sf1 | blue|
|2002 | 968 | [47, 33, 888] | 2002mi | sf2 | blue|
|2002 | 968 | [47, 33, 888] | 2002mi |  | Winner|
|2002 | 964 | [224, 195, 545] | 2002li | f1 | blue|
